OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20650,Quaker Brook,River/Stream,"Within the Great Hollow Nature Preserve & Ecological Research Center, NEW FAIRFIELD",02030101,,,,,41.5050880000,-73.5305450000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20652,Round Pond Outlet,River/Stream,"At Oreneca Road, RIDGEFIELD",02030101,,,,,41.3025290000,-73.5414210000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20654,Still River,River/Stream,"Behind the Courtyard Marriott, DANBURY",01100005,,,,,41.4119440000,-73.4148380000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20805,Mianus River,River/Stream,,01100006,,,,,41.0627100000,-73.5797800000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20888,Brothers Brook,River/Stream,,01100006,,,,,41.0479180000,-73.6008080000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20889,Greenwich Creek,River/Stream,,01100006,,,,,41.0541810000,-73.6102010000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-20979,North Branch Pootatuck River,River/Stream,,01100005,,,,,41.3763560000,-73.2774790000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-0.5,Bruce 0.5,River/Stream,,01100006,,,,,41.1739560000,-73.1585600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-1,Bruce 1,River/Stream,,01100006,,,,,41.1838600000,-73.1544670000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-2,Bruce 2,River/Stream,,01100006,,,,,41.1918800000,-73.1542700000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-3,Bruce 3,River/Stream,,01100006,,,,,41.1969900000,-73.1508500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-4,Bruce 4,River/Stream,,01100006,,,,,41.2039700000,-73.1480300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-5,Bruce 5,River/Stream,,01100006,,,,,41.2091500000,-73.1456500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-6,Bruce 6,River/Stream,,01100006,,,,,41.2194900000,-73.1409100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-7,Bruce 7,River/Stream,,01100006,,,,,41.2211800000,-73.1409100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Bruce-8,Bruce 8,River/Stream,,01100006,,,,,41.2227800000,-73.1415700000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Cemetery-1,Cemetery 1,River/Stream,,01100005,,,,,41.2465440000,-73.1256200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-1,"Lake Lillinonah, Fairfield County, CT, USA",Lake,,01100005,,,,,41.4771920000,-73.3455140000,,,,GPS-Unspecified,WGS84,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-3,"Lake Lillinonah, Fairfield County, CT, USA",Lake,,01100005,,,,,41.4918660000,-73.3826470000,,,,GPS-Unspecified,WGS84,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-38,"Lake Candlewood, Fairfield County, CT, USA",Lake,,01100005,,,,,41.5561500000,-73.4765400000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-39,"Lake Candlewood, Fairfield County, CT, USA",Lake,,01100005,,,,,41.4993400000,-73.4564800000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-46,"Lake Kenosia, Fairfield County, CT, USA",Lake,,01100005,,,,,41.3856800000,-73.5058680000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-47,"Lake Kenosia, Fairfield County, CT, USA",Lake,,01100005,,,,,41.3824860000,-73.4989600000,,,,GPS-Unspecified,NAD83,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-50,"Lake Naraneka, Fairfield County, CT, USA",Lake,,02030101,,,,,41.3242850000,-73.5062490000,,,,GPS-Unspecified,WGS84,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-CT-1-55,"Lake Naraneka, Fairfield County, CT, USA",Lake,,02030101,,,,,41.3244910000,-73.5085800000,,,,GPS-Unspecified,WGS84,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-2,Deadman 2,River/Stream,,01100006,,,,,41.1419900000,-73.3583400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-3,Deadman 3,River/Stream,,01100006,,,,,41.1468200000,-73.3543400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-3.5,Deadman 3.5,River/Stream,,01100006,,,,,41.1514100000,-73.3478200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-4,Deadman 4,River/Stream,,01100006,,,,,41.1548700000,-73.3413000000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-5,Deadman 5,River/Stream,,01100006,,,,,41.1586900000,-73.3349800000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-7,Deadman 7,River/Stream,,01100006,,,,,41.1650200000,-73.3341900000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-8,Deadman 8,River/Stream,,01100006,,,,,41.1726700000,-73.3315200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Deadman-9,Deadman 9,River/Stream,,01100006,,,,,41.1782600000,-73.3300600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-ES-01,East Swamp Brook,River/Stream,"64 Shelter Rock Rd, Across from Utility pole",01100005,,,,,41.3954600000,-73.4073400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farm-4,Farm 4,River/Stream,,01100006,,,,,41.0650600000,-73.4399400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farm-5,Farm 5,River/Stream,,01100006,,,,,41.0664600000,-73.4394600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farm-6,Farm 6,River/Stream,,01100006,,,,,41.0686600000,-73.4382000000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farm-7,Farm 7,River/Stream,,01100006,,,,,41.0768700000,-73.4370600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farm-8,Farm 8,River/Stream,,01100006,,,,,41.0816300000,-73.4370400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-1,Farmill 1,River/Stream,,01100005,,,,,41.2645700000,-73.1072600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-2,Farmill 2,River/Stream,,01100005,,,,,41.2763300000,-73.1150200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-3,Farmill 3,River/Stream,,01100005,,,,,41.2827400000,-73.1372100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-4,Farmill 4,River/Stream,,01100005,,,,,41.2838400000,-73.1555100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-5,Farmill 5,River/Stream,,01100005,,,,,41.2919100000,-73.1591100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-6,Farmill 6,River/Stream,,01100005,,,,,41.2928800000,-73.1733000000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-7,Farmill 7,River/Stream,,01100005,,,,,41.3009500000,-73.1957900000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Farmill-8,Farmill 8,River/Stream,,01100005,,,,,41.3057500000,-73.2115800000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-10,Fivemile 10,River/Stream,,01100006,,,,,41.1893200000,-73.5141400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-2,Fivemile 2,River/Stream,,01100006,,,,,41.0881900000,-73.4507100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-3,Fivemile 3,River/Stream,,01100006,,,,,41.1005800000,-73.4544100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-4,Fivemile 4,River/Stream,,01100006,,,,,41.1106900000,-73.4619600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-5,Fivemile 5,River/Stream,,01100006,,,,,41.1269000000,-73.4710200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-6,Fivemile 6,River/Stream,,01100006,,,,,41.1366200000,-73.4791700000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-7,Fivemile 7,River/Stream,,01100006,,,,,41.1478300000,-73.4835300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-8,Fivemile 8,River/Stream,,01100006,,,,,41.1555800000,-73.4934500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Fivemile-9,Fivemile 9,River/Stream,,01100006,,,,,41.1681100000,-73.5049300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Great-1,Great 1,River/Stream,,01100006,,,,,41.1604740000,-73.3017090000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Great-2,Great 2,River/Stream,,01100006,,,,,41.1694020000,-73.3013490000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Great-3,Great 3,River/Stream,,01100006,,,,,41.1782740000,-73.3004640000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Great-4,Great 4,River/Stream,,01100006,,,,,41.1861110000,-73.2959420000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-1,Horseneck 1,River/Stream,,01100006,,,,,41.0204330000,-73.6324800000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-10,Horseneck 10,River/Stream,,01100006,,,,,41.1141900000,-73.6328300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-2,Horseneck 2,River/Stream,,01100006,,,,,41.0268700000,-73.6331900000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-3,Horseneck 3,River/Stream,,01100006,,,,,41.0285300000,-73.6347200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-4,Horseneck 4,River/Stream,,01100006,,,,,41.0304600000,-73.6397400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-5,Horseneck 5,River/Stream,,01100006,,,,,41.0412100000,-73.6417100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-6,Horseneck 6,River/Stream,,01100006,,,,,41.0469600000,-73.6419500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-7,Horseneck 7,River/Stream,,01100006,,,,,41.0523200000,-73.6417000000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horseneck-8,Horseneck 8,River/Stream,,01100006,,,,,41.0706800000,-73.6398400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horse-Tavern-1,Horse Tavern 1,River/Stream,,01100006,,,,,41.1958540000,-73.2319900000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horse-Tavern-2,Horse Tavern 2,River/Stream,,01100006,,,,,41.2031600000,-73.2294000000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horse-Tavern-3,Horse Tavern 3,River/Stream,,01100006,,,,,41.2124300000,-73.2238200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horse-Tavern-4,Horse Tavern 4,River/Stream,,01100006,,,,,41.2357170000,-73.2281100000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Horse-Tavern-5,Horse Tavern 5,River/Stream,,01100006,,,,,41.2443830000,-73.2320500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Hunt-Club-1,Hunt Club 1,River/Stream,,01100006,,,,,41.1458700000,-73.3035700000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Hunt-Club-2,Hunt Club 2,River/Stream,,01100006,,,,,41.1478600000,-73.3073600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Indian-1,Indian 1,River/Stream,,01100006,,,,,41.1164290000,-73.3758530000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Indian-1.5,Indian 1.5,River/Stream,,01100006,,,,,41.1163460000,-73.3786620000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Indian-2,Indian 2,River/Stream,,01100006,,,,,41.1183650000,-73.3790280000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Indian-3,Indian 3,River/Stream,,01100006,,,,,41.1211650000,-73.3799760000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Indian-3.5,Indian 3.5,River/Stream,,01100006,,,,,41.1255900000,-73.3834300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Island-1,Island 1,River/Stream,,01100006,,,,,41.2078400000,-73.1961300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Island-2,Island 2,River/Stream,,01100006,,,,,41.2120600000,-73.1995400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Island-3,Island 3,River/Stream,,01100006,,,,,41.2171800000,-73.2075700000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Island-4,Island 4,River/Stream,,01100006,,,,,41.2254000000,-73.2057400000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Island-5,Island 5,River/Stream,,01100006,,,,,41.2349000000,-73.2172300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-KB-01,Kohanza Brook,River/Stream,"21 North St, Behind Milenio Barber Shop",01100005,,,,,41.4037600000,-73.4569700000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Keelers-1,Keelers 1,River/Stream,,01100006,,,,,41.0856200000,-73.4430500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Keelers-2,Keelers 2,River/Stream,,01100006,,,,,41.0908100000,-73.4410500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Keelers-3,Keelers 3,River/Stream,,01100006,,,,,41.0989500000,-73.4423500000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Keelers-4,Keelers 4,River/Stream,,01100006,,,,,41.1031600000,-73.4415300000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Keelers-5,Keelers 5,River/Stream,,01100006,,,,,41.1050100000,-73.4413900000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-LB-01,Limekiln Brook,River/Stream,"79 Newtown Rd, Across from Boat Launch Parking",01100005,,,,,41.4110900000,-73.4142600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-LB-02,Limekiln Brook,River/Stream,"64 Shelter Rock Rd, Upstream of culvert",01100005,,,,,41.3953600000,-73.4061200000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Londons-1,Londons 1,River/Stream,,01100006,,,,,41.1953760000,-73.2354000000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-MB-01,Miry Brook,River/Stream,Across from Danbury Dog Park Entrance,01100005,,,,,41.3685900000,-73.4936900000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Muddy-1,Muddy 1,River/Stream,,01100006,,,,,41.1273500000,-73.3295800000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Muddy-2,Muddy 2,River/Stream,,01100006,,,,,41.1329260000,-73.3285860000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Muddy-3,Muddy 3,River/Stream,,01100006,,,,,41.1385730000,-73.3254600000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Muddy-4,Muddy 4,River/Stream,,01100006,,,,,41.1410680000,-73.3217220000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Muddy-5,Muddy 5,River/Stream,,01100006,,,,,41.1468550000,-73.3180870000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-Muddy-6,Muddy 6,River/Stream,,01100006,,,,,41.1644400000,-73.3252140000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
CTVOLMON,CT DEEP Volunteer Water Monitoring Program (Volunteer),CTVOLMON-New-2,New 2,Estuary,,01100006,,,,,41.1233440000,-73.3137940000,,,,Unknown,UNKWN,,,,,,,US,09,001,,,,,,,,,,STORET
